Start
0.0006476278674118919
-5.327222544660934e-06,0.0020370083033098858
0.00010195548029014352,4.647816906343423e-05
6.637626877625986e-05,6.971702736670651e-06
4.689747780359417e-05,5.764676943183789e-05,5.486558386835934e-05
3.1445444230506284e-05,3.904178676080017e-05,2.585573686110683e-05
5.5489795905335646e-05,-8.062120839575845e-06,-7.045776999834927e-06,1.569585282756944e-05
5.594471265075481e-05,-8.057080744123743e-06,-7.0366779472124524e-06,1.613710224872675e-05
5.6403898944180835e-05,-8.052062016454184e-06,-7.027573721838862e-06,1.6584101394039238e-05
5.686739186503657e-05,-8.047064793860123e-06,-7.018464750483885e-06,1.7036900749136463e-05
5.733522844489428e-05,-8.042089216576606e-06,-7.009351476792644e-06,1.7495550787005334e-05
5.7807445677148416e-05,-8.037135421410865e-06,-7.000234333321906e-06,1.796010199077741e-05
5.828408050437298e-05,-8.032203551817593e-06,-6.991113766339693e-06,1.8430604832676315e-05
5.8765169824705294e-05,-8.027293752167416e-06,-6.981990221767084e-06,1.890710978710448e-05
5.92507504981604e-05,-8.022406160488812e-06,-6.9728641458582236e-06,1.9389667328367204e-05
5.974085932806258e-05,-8.017540930492159e-06,-6.963735995150697e-06,1.9878327925634992e-05
6.023553308256979e-05,-8.012698204730093e-06,-6.954606220478318e-06,2.0373142052449857e-05
6.073480847802033e-05,-8.007878133249255e-06,-6.945475286677591e-06,2.08741601711128e-05
6.123872218798117e-05,-8.003080866235066e-06,-6.936343649897522e-06,2.1381432754582973e-05
6.174731083958418e-05,-7.998306554622345e-06,-6.927211780858797e-06,2.1895010263468284e-05
6.226061101223553e-05,-7.993555353425982e-06,-6.9180801462852964e-06,2.2414943163553065e-05
6.277865924411051e-05,-7.988827412706498e-06,-6.908949217841395e-06,2.2941281916666477e-05
6.330149201871976e-05,-7.984122893709908e-06,-6.899819475101807e-06,2.3474076981029454e-05
6.382914578281167e-05,-7.979441948744934e-06,-6.890691391909717e-06,2.4013378818956874e-05
6.43616569291778e-05,-7.974784736351423e-06,-6.881565459469427e-06,2.455923788087036e-05
6.489906180396648e-05,-7.970151419523994e-06,-6.872442154704991e-06,2.5111704629598268e-05
6.544139670991627e-05,-7.96554215588656e-06,-6.863321974080391e-06,2.5670829510316416e-05
6.598869790026372e-05,-7.960957107961894e-06,-6.854205409701983e-06,2.6236662976943625e-05
6.654100157977025e-05,-7.956396439258093e-06,-6.845092956673723e-06,2.680925547745902e-05
6.709834390483315e-05,-7.951860314435108e-06,-6.835985118634411e-06,2.7388657455609004e-05
6.766076098538693e-05,-7.947348898749637e-06,-6.826882397390974e-06,2.7974919357721245e-05
6.822828888259951e-05,-7.942862356931021e-06,-6.817785300981469e-06,2.8568091621921646e-05
6.880096360491714e-05,-7.93840085999524e-06,-6.8086943432171115e-06,2.9168224683935244e-05
6.937882111701549e-05,-7.933964573545935e-06,-6.799610033926193e-06,2.9775368983109185e-05
6.996189732977993e-05,-7.929553669917475e-06,-6.79053290108915e-06,3.0389574943011565e-05
7.055022810519052e-05,-7.925168320042572e-06,-6.781463457212686e-06,3.1010892998701294e-05
7.114384925902815e-05,-7.920808691384493e-06,-6.772402233885463e-06,3.163937356931945e-05
7.1742796546858e-05,-7.916474963771611e-06,-6.763349760003853e-06,3.2275067074825917e-05
7.23471056861646e-05,-7.912167304223103e-06,-6.754306568932873e-06,3.291802393205806e-05
